#RPLIDAR SCAN DATA
#COUNT=53833
#Angule	Distance	Quality
37.4375 1148.0 47
38.0469 1151.0 47
38.7813 1158.0 47
39.3906 1163.0 47
39.8750 1158.0 47
40.4844 1131.0 47
41.0938 1227.0 47
41.7031 1197.0 47
42.3125 1191.0 47
42.9375 1199.0 47
43.5313 1202.0 47
44.1406 1210.0 47
46.4375 3751.0 47
46.9219 3772.0 47
47.5156 4144.0 47
57.5469 220.0 47
52.3750 4062.0 47
52.9844 3971.0 47
54.2031 4121.0 47
55.4219 4399.0 47
56.0313 4803.0 47
60.1563 6633.0 47
61.9688 7057.0 47
62.5781 6874.0 47
63.1875 6743.0 47
64.4219 1808.0 47
65.0313 1808.0 47
66.3906 906.0 47
81.9063 2216.0 47
82.5156 2189.0 47
83.1250 2190.0 47
83.7344 2174.0 47
85.4688 807.0 47
86.0781 810.0 47
86.6719 814.0 47
87.2813 824.0 47
87.7656 810.0 47
88.5000 824.0 47
89.1094 801.0 47
89.5938 805.0 47
90.4375 798.0 47
91.0469 797.0 47
91.5313 795.0 47
92.1406 792.0 47
92.7500 793.0 47
93.3594 797.0 47
93.9688 810.0 47
97.3125 5373.0 47
97.9219 5384.0 47
98.5313 5367.0 47
99.1406 5403.0 47
99.7500 5381.0 47
100.3594 5376.0 47
100.9688 5131.0 47
101.5781 5158.0 47
102.1875 5138.0 47
106.1719 403.0 47
106.6563 394.0 47
107.3906 388.0 47
108.1250 384.0 47
108.9844 381.0 47
109.0938 382.0 47
109.9531 380.0 47
110.4375 379.0 47
111.4219 377.0 47
111.6563 377.0 47
112.6406 376.0 47
113.0000 376.0 47
113.7344 377.0 47
114.0938 377.0 47
114.8281 378.0 47
115.3125 379.0 47
116.0469 380.0 47
116.7813 382.0 47
117.2656 385.0 47
118.0000 389.0 47
118.2344 394.0 47
120.5313 504.0 47
121.3906 497.0 47
122.0000 491.0 47
122.6250 492.0 47
123.0938 482.0 47
123.8281 479.0 47
124.4531 479.0 47
125.4219 430.0 47
125.7813 429.0 47
126.8906 422.0 47
127.3750 427.0 47
127.7344 425.0 47
128.7188 389.0 47
129.2031 399.0 47
130.5313 460.0 47
131.0156 469.0 47
131.8750 476.0 47
132.2344 480.0 47
132.9531 483.0 47
133.5625 484.0 47
134.1719 483.0 47
134.9063 478.0 47
135.3906 468.0 47
136.0000 462.0 47
136.7344 460.0 47
137.3438 461.0 47
137.8281 462.0 47
138.6875 463.0 47
139.1719 465.0 47
139.7813 468.0 47
140.1406 472.0 47
140.7500 476.0 47
141.4844 479.0 47
142.2188 482.0 47
142.6875 488.0 47
143.0469 497.0 47
145.5781 856.0 47
146.6875 702.0 47
147.0469 697.0 47
147.7813 697.0 47
148.5156 700.0 47
149.9688 798.0 47
150.5781 792.0 47
151.1875 787.0 47
151.9219 778.0 47
152.4063 772.0 47
153.0156 765.0 47
154.1250 628.0 47
154.8594 624.0 47
155.2188 621.0 47
155.8281 625.0 47
156.4375 632.0 47
158.0156 721.0 47
158.7500 716.0 47
159.2344 713.0 47
160.0938 708.0 47
160.5781 705.0 47
161.1719 700.0 47
161.7813 693.0 47
162.3906 690.0 47
163.1250 687.0 47
163.7344 684.0 47
164.3438 681.0 47
164.9531 677.0 47
165.4375 673.0 47
166.0469 670.0 47
166.7813 666.0 47
167.2656 664.0 47
168.1250 660.0 47
168.6094 657.0 47
169.2188 655.0 47
169.8281 652.0 47
170.5625 650.0 47
171.0313 648.0 47
171.6406 645.0 47
172.2656 642.0 47
172.9844 642.0 47
173.5938 639.0 47
174.2031 637.0 47
174.8125 634.0 47
175.5469 633.0 47
176.0313 632.0 47
176.6406 630.0 47
177.2500 630.0 47
177.9844 626.0 47
178.3438 625.0 47
179.2031 623.0 47
179.8125 623.0 47
180.2969 621.0 47
180.8906 621.0 47
181.5000 619.0 47
182.1094 618.0 47
182.8438 617.0 47
183.4531 617.0 47
184.0625 617.0 47
184.6719 616.0 47
185.2813 616.0 47
185.7500 616.0 47
186.2344 614.0 47
187.0938 614.0 47
187.5781 615.0 47
188.3125 613.0 47
188.9219 614.0 47
189.5313 613.0 47
190.1406 613.0 47
190.7344 612.0 47
191.2188 613.0 47
191.8281 614.0 47
192.5625 614.0 47
193.0469 614.0 47
193.6563 614.0 47
194.2656 615.0 47
194.8750 615.0 47
195.5938 616.0 47
196.2031 615.0 47
196.6875 616.0 47
197.4219 617.0 47
197.9063 619.0 47
198.6406 619.0 47
199.1250 620.0 47
199.7344 620.0 47
200.2188 622.0 47
201.0938 623.0 47
201.5625 625.0 47
202.1719 627.0 47
